Antwort ID,Geschlecht,Altersgruppe,E-Mail,Wie häufig nutzen Sie aktuell generative KI im Arbeitskontext? [Benutzung KI],"Wo setzen Sie Generative KI typischerweise ein? [Texterstellung und -bearbeitung (z.B. Verfassung von Mails, Artikel oder Zusammenfassungen)]","Wo setzen Sie Generative KI typischerweise ein? [Kreative Inhalte erstellen (z.B. Bilder, Musik, Videos, Designs etc.)]","Wo setzen Sie Generative KI typischerweise ein? [Programmieren und Automatisieren (z.B. Code schreiben, Fehler beheben etc.)]","Wo setzen Sie Generative KI typischerweise ein? [Lernen und Bildung (z.B. individuelle Erklärungen, Zusammenfassungen, Lernhilfe etc.)]","Wo setzen Sie Generative KI typischerweise ein? [Kommunikation und Übersetzung verbessern (z.B. Korrektur von Texten, Übersetzungen von Artikeln etc.)]",Welche Erwartungen hatten Sie an die Generative KI vor der Nutzung? [Effizienz],Welche Erwartungen hatten Sie an die Generative KI vor der Nutzung? [Kreativität],Welche Erwartungen hatten Sie an die Generative KI vor der Nutzung? [Arbeitsentlastung],Welche Erwartungen hatten Sie an die Generative KI vor der Nutzung? [Zuverlässigkeit],Welche Erwartungen hatten Sie an die Generative KI vor der Nutzung? [Innovation],Welche dieser Erwartungen wurden erfüllt? [Effizienz][Skala 1],Welche dieser Erwartungen wurden erfüllt? [Effizienz][Skala 2],Welche dieser Erwartungen wurden erfüllt? [Kreativität][Skala 1],Welche dieser Erwartungen wurden erfüllt? [Kreativität][Skala 2],Welche dieser Erwartungen wurden erfüllt? [Arbeitsentlastung][Skala 1],Welche dieser Erwartungen wurden erfüllt? [Arbeitsentlastung][Skala 2],Welche dieser Erwartungen wurden erfüllt? [Zuverlässigkeit][Skala 1],Welche dieser Erwartungen wurden erfüllt? [Zuverlässigkeit][Skala 2],Welche dieser Erwartungen wurden erfüllt? [Innovation][Skala 1],Welche dieser Erwartungen wurden erfüllt? [Innovation][Skala 2],Welche positiven Erfahrungen habe Sie mit Generativer KI gemacht? [Zeitersparnis],Welche positiven Erfahrungen habe Sie mit Generativer KI gemacht? [Kreative Impulse],Welche positiven Erfahrungen habe Sie mit Generativer KI gemacht? [Entlastung (Zeit + Aufwand)],Welche positiven Erfahrungen habe Sie mit Generativer KI gemacht? [Qualität],Welche positiven Erfahrungen habe Sie mit Generativer KI gemacht? [Keine bemerkbaren Effekte],Welche negativen Erfahrungen haben Sie mit Generativer KI gemacht? [Ungenaue Resultate],Welche negativen Erfahrungen haben Sie mit Generativer KI gemacht? [Fehlender Datenschutz],Welche negativen Erfahrungen haben Sie mit Generativer KI gemacht? [Verbreitung von Fehlinformationen (Fake News)],Welche negativen Erfahrungen haben Sie mit Generativer KI gemacht? [Abhängigkeit von Technologie],Welche negativen Erfahrungen haben Sie mit Generativer KI gemacht? [Verlust von Originalität / menschlicher Kreativität],Wie stark vertrauen Sie den Resultaten von Generativer KI?,Hat Generative KI Ihre Arbeitsweise verändert?,Wie kompetent fühlen Sie sich im Umgang mit Generativer KI?,Hatten Sie Schulungen oder Trainings im Zusammenhang mit Generativer KI?,Wie gut unterstützt Ihr Unternehmen die Nutzung von Generativer KI? [Technologische Infrastruktur],Wie gut unterstützt Ihr Unternehmen die Nutzung von Generativer KI? [Guidelines zur Benutzung von Generativer KI],Wie gut unterstützt Ihr Unternehmen die Nutzung von Generativer KI? [Schulungen / Kurse / Webinare],Wie gut unterstützt Ihr Unternehmen die Nutzung von Generativer KI? [Rechtliche Richtlinien],Wie gut unterstützt Ihr Unternehmen die Nutzung von Generativer KI? [Kulturelle Offenheit],Würden Sie Generative KI Ihren Mitmenschen weiterempfehlen? [Weiterempfehlung],"Planen Sie, Generative KI in Zukunft (mehr) zu nutzen?",  
14,Weiblich,18-25,@hotmail.com,5,Ja,Nein,Nein,Ja,Ja,Hohe Erwartungen,Hohe Erwartungen,Neutrale Erwartungen,Neutrale Erwartungen,Neutrale Erwartungen,Neutrale Erwartungen,Neutrale Erwartungen,Neutrale Erwartungen,Neutrale Erwartungen,Neutrale Erwartungen,Hohe Erwartungen,Neutrale Erwartungen,Neutrale Erwartungen,Neutrale Erwartungen,Neutrale Erwartungen,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Neutrales Vertrauen,Ja,Sehr hohe Kompetenz,Nein,Gar Nicht,Gar Nicht,Gar Nicht,Gar Nicht,Gar Nicht,6,Unsicher,
15,Männlich,26-35,@gmx.ch,4,Nein,Nein,Ja,Ja,Nein,Neutrale Erwartungen,Wenig Erwartungen,Wenig Erwartungen,Keine Erwartungen,Keine Erwartungen,Neutrale Erwartungen,Hohe Erwartungen,Wenig Erwartungen,Keine Erwartungen,Wenig Erwartungen,Neutrale Erwartungen,Keine Erwartungen,Wenig Erwartungen,Keine Erwartungen,Keine Erwartungen,Ja,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Wenig Vertrauen,Nein,Gute Kompetenz,Nein,Gar Nicht,Wenig,Gar Nicht,Zufriedenstellend,Wenig,5,Unsicher,
16,Männlich,26-35,@sfb.ch,7,Ja,Ja,Nein,Nein,Nein,Hohe Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Neutrale Erwartungen,Hohe Erwartungen,Neutrale Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Ja,Ja,Neutrales Vertrauen,Ja,Gute Kompetenz,Nein,Zufriedenstellend,Gut,Zufriedenstellend,Zufriedenstellend,Zufriedenstellend,7,Ja,
17,Männlich,26-35,@students.zhaw.ch,8,Ja,Ja,Ja,Ja,Ja,Hohe Erwartungen,Wenig Erwartungen,Neutrale Erwartungen,Wenig Erwartungen,Neutrale Erwartungen,Neutrale Erwartungen,Hohe Erwartungen,Keine Erwartungen,Sehr hohe Erwartungen,Wenig Erwartungen,Hohe Erwartungen,Neutrale Erwartungen,Hohe Erwartungen,Neutrale Erwartungen,Neutrale Erwartungen,Ja,Nein,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Wenig Vertrauen,Ja,Mittlere Kompetenz,Ja,Sehr Gut,Zufriedenstellend,Wenig,Wenig,Zufriedenstellend,9,Ja,
18,Männlich,26-35,@gmail.com,10,Ja,Nein,Nein,Ja,Ja,Neutrale Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Sehr hohe Erwartungen,Hohe Erwartungen,Neutrale Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Sehr hohe Erwartungen,Sehr hohe Erwartungen,Sehr hohe Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Neutrale Erwartungen,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Neutrales Vertrauen,Ja,Gute Kompetenz,Ja,Sehr Gut,Sehr Gut,Sehr Gut,Sehr Gut,Sehr Gut,10,Ja,
19,Männlich,18-25,@bluewin.ch,2,Nein,Nein,Nein,Ja,Nein,Hohe Erwartungen,Neutrale Erwartungen,Hohe Erwartungen,Neutrale Erwartungen,Neutrale Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Neutrale Erwartungen,Wenig Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Neutrale Erwartungen,Hohe Erwartungen,Neutrale Erwartungen,Neutrale Erwartungen,Nein,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Neutrales Vertrauen,Nein,Mittlere Kompetenz,Nein,Zufriedenstellend,Zufriedenstellend,Gar Nicht,Gar Nicht,Zufriedenstellend,9,Ja,
21,Männlich,18-25,@students.zhaw.ch,7,Ja,Nein,Ja,Ja,Nein,Hohe Erwartungen,Neutrale Erwartungen,Sehr hohe Erwartungen,Neutrale Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Neutrale Erwartungen,Neutrale Erwartungen,Neutrale Erwartungen,Hohe Erwartungen,Neutrale Erwartungen,Neutrale Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Ja,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Wenig Vertrauen,Ja,Gute Kompetenz,Ja,Zufriedenstellend,Gut,Zufriedenstellend,Zufriedenstellend,Zufriedenstellend,9,Ja,
22,Männlich,26-35,@students.zhaw.ch,9,Ja,Nein,Ja,Nein,Ja,Hohe Erwartungen,Wenig Erwartungen,Neutrale Erwartungen,Hohe Erwartungen,Neutrale Erwartungen,Hohe Erwartungen,Keine Erwartungen,Hohe Erwartungen,Wenig Erwartungen,Hohe Erwartungen,Neutrale Erwartungen,Neutrale Erwartungen,Neutrale Erwartungen,Keine Erwartungen,Hohe Erwartungen,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Nein,Ja,Nein,Neutrales Vertrauen,Ja,Sehr hohe Kompetenz,Ja,Zufriedenstellend,Gut,Sehr Gut,Gut,Gut,9,Ja,
23,Weiblich,18-25,@students.zhaw.ch,6,Ja,Nein,Ja,Ja,Ja,Neutrale Erwartungen,Wenig Erwartungen,Hohe Erwartungen,Wenig Erwartungen,Neutrale Erwartungen,Neutrale Erwartungen,Wenig Erwartungen,Neutrale Erwartungen,Neutrale Erwartungen,Hohe Erwartungen,Neutrale Erwartungen,Wenig Erwartungen,Neutrale Erwartungen,Hohe Erwartungen,Sehr hohe Erwartungen,Nein,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Nein,Wenig Vertrauen,Ja,Gute Kompetenz,Ja,Gar Nicht,Gar Nicht,Gar Nicht,Gar Nicht,Gar Nicht,8,Ja,
24,Männlich,26-35,@students.zhaw.ch,10,Ja,Ja,Ja,Ja,Ja,Hohe Erwartungen,Wenig Erwartungen,Hohe Erwartungen,Wenig Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Sehr hohe Erwartungen,Wenig Erwartungen,Neutrale Erwartungen,Hohe Erwartungen,Sehr hohe Erwartungen,Wenig Erwartungen,Neutrale Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Ja,Nein,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Nein,Neutrales Vertrauen,Ja,Mittlere Kompetenz,Ja,Gut,Gut,Sehr Gut,Gut,Sehr Gut,10,Ja,
25,Männlich,26-35,@gmail.com,9,Ja,Ja,Nein,Ja,Ja,Hohe Erwartungen,Neutrale Erwartungen,Hohe Erwartungen,Neutrale Erwartungen,Neutrale Erwartungen,Hohe Erwartungen,Neutrale Erwartungen,Neutrale Erwartungen,Neutrale Erwartungen,Hohe Erwartungen,Neutrale Erwartungen,Neutrale Erwartungen,Neutrale Erwartungen,Neutrale Erwartungen,Neutrale Erwartungen,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Nein,Ja,Neutrales Vertrauen,Ja,Mittlere Kompetenz,Nein,Zufriedenstellend,Wenig,Wenig,Gar Nicht,Gut,9,Ja,
27,Männlich,26-35,@gmail.com,9,Ja,Nein,Nein,Ja,Ja,Sehr hohe Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Wenig Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Neutrale Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Wenig Erwartungen,Wenig Erwartungen,Keine Erwartungen,Wenig Erwartungen,Ja,Nein,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Ja,Neutrales Vertrauen,Ja,Gute Kompetenz,Nein,Gut,Sehr Gut,Wenig,Sehr Gut,Gut,9,Ja,
30,Männlich,26-35,@netcloud.ch,8,Ja,Nein,Nein,Ja,Ja,Hohe Erwartungen,Neutrale Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Neutrale Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Sehr hohe Erwartungen,Ja,Nein,Ja,Ja,Nein,Ja,Nein,Nein,Ja,Ja,Hohes Vertrauen,Ja,Sehr hohe Kompetenz,Ja,Wenig,Wenig,Gar Nicht,Wenig,Wenig,10,Ja,
31,Männlich,26-35,@zhaw.ch,10,Nein,Nein,Ja,Ja,Ja,Hohe Erwartungen,Neutrale Erwartungen,Sehr hohe Erwartungen,Sehr hohe Erwartungen,Neutrale Erwartungen,Hohe Erwartungen,Neutrale Erwartungen,Wenig Erwartungen,Wenig Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Neutrale Erwartungen,Hohe Erwartungen,Ja,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Hohes Vertrauen,Ja,Geringe Kompetenz,Nein,Wenig,Wenig,Wenig,Zufriedenstellend,Gut,10,Unsicher,
33,Männlich,36-45,@pato.ch,3,Nein,Ja,Nein,Nein,Nein,Hohe Erwartungen,Hohe Erwartungen,Wenig Erwartungen,Wenig Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Wenig Erwartungen,Hohe Erwartungen,Neutrale Erwartungen,Wenig Erwartungen,Wenig Erwartungen,Wenig Erwartungen,Wenig Erwartungen,Hohe Erwartungen,Neutrale Erwartungen,Nein,Ja,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Wenig Vertrauen,Nein,Mittlere Kompetenz,Ja,Zufriedenstellend,Zufriedenstellend,Zufriedenstellend,Gut,Zufriedenstellend,6,Ja,
34,Männlich,18-25,@students.zhaw.ch,4,Nein,Nein,Ja,Nein,Nein,Sehr hohe Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Wenig Erwartungen,Neutrale Erwartungen,Sehr hohe Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Wenig Erwartungen,Wenig Erwartungen,Neutrale Erwartungen,Hohe Erwartungen,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Nein,Neutrales Vertrauen,Ja,Gute Kompetenz,Nein,Zufriedenstellend,Gut,Gut,Gut,Gut,8,Ja,
35,Männlich,18-25,@students.zhaw.ch,8,Nein,Ja,Ja,Ja,Ja,Hohe Erwartungen,Hohe Erwartungen,Sehr hohe Erwartungen,Neutrale Erwartungen,Sehr hohe Erwartungen,Hohe Erwartungen,Sehr hohe Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Sehr hohe Erwartungen,Sehr hohe Erwartungen,Neutrale Erwartungen,Hohe Erwartungen,Sehr hohe Erwartungen,Sehr hohe Erwartungen,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Nein,Nein,Nein,Neutrales Vertrauen,Ja,Gute Kompetenz,Nein,Gar Nicht,Gar Nicht,Wenig,Gar Nicht,Zufriedenstellend,10,Ja,
36,Männlich,18-25,@students.zhaw.ch,3,Ja,Nein,Nein,Ja,Nein,Hohe Erwartungen,Keine Erwartungen,Hohe Erwartungen,Neutrale Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Neutrale Erwartungen,Hohe Erwartungen,Neutrale Erwartungen,Sehr hohe Erwartungen,Neutrale Erwartungen,Sehr hohe Erwartungen,Hohe Erwartungen,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Neutrales Vertrauen,Nein,Mittlere Kompetenz,Nein,Wenig,Wenig,Gar Nicht,Gar Nicht,Gar Nicht,9,Ja,
38,Männlich,36-45,@students.zhaw.ch,10,Ja,Ja,Ja,Ja,Ja,Hohe Erwartungen,Keine Erwartungen,Hohe Erwartungen,Keine Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Keine Erwartungen,Sehr hohe Erwartungen,Hohe Erwartungen,Sehr hohe Erwartungen,Keine Erwartungen,Sehr hohe Erwartungen,Hohe Erwartungen,Sehr hohe Erwartungen,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Nein,Neutrales Vertrauen,Ja,Sehr hohe Kompetenz,Ja,Wenig,Wenig,Sehr Gut,Sehr Gut,Sehr Gut,10,Ja,
39,Männlich,26-35,@bluewin.ch,10,Ja,Nein,Nein,Ja,Nein,Sehr hohe Erwartungen,Wenig Erwartungen,Sehr hohe Erwartungen,Wenig Erwartungen,Keine Erwartungen,Sehr hohe Erwartungen,Hohe Erwartungen,Wenig Erwartungen,Keine Erwartungen,Sehr hohe Erwartungen,Hohe Erwartungen,Wenig Erwartungen,Wenig Erwartungen,Keine Erwartungen,Wenig Erwartungen,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Neutrales Vertrauen,Ja,Mittlere Kompetenz,Ja,Sehr Gut,Gut,Gut,Wenig,Sehr Gut,10,Ja,
40,Männlich,26-35,@hotmail.com,7,Ja,Nein,Ja,Nein,Ja,Hohe Erwartungen,Wenig Erwartungen,Hohe Erwartungen,Wenig Erwartungen,Wenig Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Wenig Erwartungen,Neutrale Erwartungen,Hohe Erwartungen,Sehr hohe Erwartungen,Wenig Erwartungen,Neutrale Erwartungen,Wenig Erwartungen,Neutrale Erwartungen,Nein,Nein,Ja,Ja,Nein,Nein,Nein,Ja,Ja,Ja,Neutrales Vertrauen,Ja,Mittlere Kompetenz,Nein,Zufriedenstellend,Wenig,Wenig,Zufriedenstellend,Gut,8,Ja,
